Site    ,Name                                     ,Lat       ,Lon      ,Start    ,End      , Years ,  %  ,AWS
74230,TALLIMBA (TRALEE)                        ,-34,146.8,1/6/1968,1/10/1973,5.4,100,  N
74245,TALLIMBA (WOODLANDS)                     ,-34.0208,146.8343,1/1/1968,1/1/2011,43,100,  N
74102,TALLIMBA STORE                           ,-33.9945,146.8823,1/2/1941,1/9/2002,55.6,90,  N
68162,TALLONG                                  ,-34.75,150.1667,NA,1/12/1936,41.2,98,  N
68109,TALLONG (CAOURA)                         ,-34.7833,150.1667,1/1/1919,1/3/1975,47.2,84,  N
59066,TALLOWWOOD POINT                         ,-30.35,152.8667,1/1/1946,1/10/1966,20.8,100,  N
72096,TALMALMO                                 ,-35.95,147.5167,NA,1/12/1917,31,100,  N
72084,TALMALMO (MYRTLE GROVE)                  ,-35.9167,147.45,1/11/1966,1/12/1971,5.2,100,  N
72167,TALMALMO (YEELANNA)                      ,-35.9532,147.5075,1/7/2003,1/2/2004,0.7,99,  N
48062,TALYEALYE                                ,-29.1167,144.3833,NA,1/5/1969,51.3,59,  N
66187,TAMARAMA (CARLISLE ST)                   ,-33.8997,151.2681,1/7/1991,1/3/1999,6.8,88,  N
55053,TAMBAR SPRINGS POST OFFICE               ,-31.346,149.8285,1/5/1901,1/2/2022,95.5,79,  N
55166,TAMWORTH (BAHREENAH)                     ,-31.2248,150.9249,1/8/1958,1/10/2008,49.5,98,  N
55152,TAMWORTH (BOXVIEW)                       ,-31.05,150.9833,1/9/1958,1/11/1970,12.3,100,  N
55156,TAMWORTH (HEWITT)                        ,-31.0833,150.8833,1/10/1958,1/2/1964,5.4,100,  N
55279,TAMWORTH (HILLGROVE)                     ,-31.0938,150.7382,1/3/1969,1/10/2018,49.7,100,  N
55333,TAMWORTH (HOLLAND ST)                    ,-31.1171,150.9135,1/11/2003,1/6/2005,1.7,100,  N
55132,TAMWORTH (OMAHA)                         ,-30.9667,150.8667,1/8/1958,1/9/1973,13.7,90,  N
55327,TAMWORTH (OXLEY LANE)                    ,-31.1259,150.8323,1/1/1993,1/12/2015,23,100,  N
55332,TAMWORTH (OXLEY VALE)                    ,-31.0646,150.9063,1/11/2003,1/10/2010,7,100,  N
55330,TAMWORTH (WARRAWEE)                      ,-31.1921,150.954,1/1/2003,1/5/2014,11.4,100,  N
55054,TAMWORTH AIRPORT                         ,-31.0867,150.8467,NA,1/11/1993,113.6,96,  N
55325,TAMWORTH AIRPORT AWS                     ,-31.0742,150.8362,1/1/1993,1/3/2022,29.3,100,  Y
55151,TAMWORTH C.S.094                         ,-31.0833,150.95,1/8/1958,1/9/1970,11.7,96,  N
55221,TAMWORTH DOMINICAN CONVENT               ,-31.1167,150.9167,1/9/1900,1/11/1925,24.6,97,  N
55222,TAMWORTH WEST                            ,-31.1,150.9,NA,1/2/1945,64,98,  N
59031,TANBAN FORESTRY                          ,-30.95,152.8,1/1/1940,1/6/1960,20.5,100,  N
56030,TANGLEY                                  ,-30.15,151.55,1/8/1900,1/11/1970,69.4,99,  N
47051,TANGRAMBALLY                             ,-34.5,143.6667,1/6/1952,1/10/1952,0.4,100,  N
61395,TANILBA BAY WWTP                         ,-32.7391,152.0121,1/1/2002,1/12/2018,16.8,98,  N
69086,TANJA                                    ,-36.6167,150.0167,1/10/1903,1/1/1916,11.3,91,  N
49046,TAPALIN                                  ,-34.55,142.5,1/11/1920,1/12/1953,33.2,100,  N
47071,TAPIO                                    ,-34,142,NA,1/7/1925,51.3,94,  N
55225,TARA 2                                   ,-30.9333,151.3167,1/12/1903,1/6/1926,20.8,92,  N
47081,TARA TANK                                ,-33.1667,141.7833,NA,1/12/1919,27.3,97,  N
70079,TARAGO (KILDARE)                         ,-35.1167,149.6,NA,1/2/1982,75.4,77,  N
70086,TARAGO (WILLEROO)                        ,-35.0333,149.5167,1/7/1911,1/10/1971,58.3,97,  N
