Site    ,Name                                     ,Lat       ,Lon      ,Start    ,End      , Years ,  %  ,AWS
67114,ABBOTSBURY (FAIRFIELD (CITY FARM))       ,-33.8667,150.8611,1/12/2000,1/3/2022,20.9,98,  N
66034,ABBOTSFORD (BLACKWALL POINT RD)          ,-33.8507,151.1295,1/1/2004,1/3/2022,18.3,100,  N
55230,ABBOTSLEA                                ,-31.0667,150.05,NA,1/10/1926,36.4,97,  N
63000,ABERCROMBIE (ABERCROMBIE BRIDGE)         ,-33.9541,149.3252,1/7/1931,1/9/2007,74.9,98,  N
63296,ABERCROMBIE (ABERCROMBIE RIVER)          ,-33.9547,149.3241,1/12/2000,1/12/2014,13.7,97,  N
63257,ABERCROMBIE (THE JUNCTION)               ,-33.9609,149.3184,1/11/2007,1/8/2016,8.7,98,  N
63199,ABERCROMBIE CAVES                        ,-33.9833,149.4167,1/1/1900,1/3/1927,27.2,100,  N
61000,ABERDEEN (MAIN RD)                       ,-32.1655,150.8911,NA,1/5/2013,113.1,95,  N
61065,ABERDEEN (ROSSGOLE)                      ,-32.1402,150.7285,1/1/1926,1/12/2021,95.9,100,  N
57000,ABERFOYLE                                ,-30.2667,152.0167,NA,1/12/1970,77.3,91,  N
57101,ABERFOYLE (BAMBI)                        ,-30.2667,152.0333,1/1/1971,1/5/1973,2.4,100,  N
56183,ABINGTON (GLANMIRE)                      ,-30.3167,151.2,1/1/1960,1/10/1974,13.7,92,  N
57031,ACACIA PLATEAU (BELMONT)                 ,-28.35,152.4333,1/6/1954,1/4/1970,15.9,100,  N
71040,ADAMINABY (YAOUK)                        ,-35.7858,148.8106,1/12/1969,1/12/2021,38,73,  N
71000,ADAMINABY ALPINE TOURIST PARK            ,-35.9962,148.7693,NA,1/3/2022,133.5,99,  N
50087,ADAVALE                                  ,-32.9,148,NA,1/1/1942,47.1,98,  N
72083,ADELONG (GALIMBANG)                      ,-35.4402,147.928,1/5/1967,1/10/2013,46.5,100,  N
72159,ADELONG (KATHVALE)                       ,-35.3205,147.9419,1/6/1985,1/2/2022,34.8,94,  N
72000,ADELONG (TUMUT ST)                       ,-35.3085,148.0641,NA,1/11/2020,136.3,99,  N
73147,ADJUNGBILLY (RED HILL RD)                ,-35.0875,148.3967,1/7/2003,1/7/2004,1.1,100,  N
58066,AFTERLEE POST OFFICE                     ,-28.5833,152.8333,1/11/1953,1/8/1964,10.8,100,  N
70000,AINSLIE TYSON ST                         ,-35.2583,149.1424,1/4/1935,1/1/2021,85.7,100,  N
67039,AJANA                                    ,-33.65,150.7667,1/1/1963,1/12/1964,2,100,  N
50001,ALAWA                                    ,-33.4,147.6,1/2/1925,1/3/1937,10.3,85,  N
50033,ALBERT (THE MEADOWS)                     ,-32.3333,147.4,1/7/1906,1/10/1977,71.3,100,  N
68129,ALBION PARK (PARKVALE)                   ,-34.6,150.75,1/11/1962,1/7/1967,4.3,91,  N
68241,ALBION PARK (SHELLHARBOUR AIRPORT)       ,-34.5639,150.7924,1/6/1999,1/3/2022,22.8,100,  Y
68000,ALBION PARK POST OFFICE                  ,-34.5712,150.7761,NA,1/2/2022,126.8,98,  N
72001,ALBURY                                   ,-36.1,146.9,NA,1/7/1962,99.3,95,  N
72168,ALBURY (TABLE TOP (NYRIMBLA))            ,-35.9757,147.0371,1/1/2004,1/11/2012,8.9,100,  N
72146,ALBURY AIRPORT                           ,-36.0694,146.9531,1/6/1983,1/2/2022,38.5,99,  N
72160,ALBURY AIRPORT AWS                       ,-36.069,146.9509,1/6/1994,1/3/2022,27.8,100,  Y
72059,ALBURY GRAMMAR SCHOOL                    ,-36.0667,146.9333,1/11/1960,1/11/1969,8.5,94,  N
72057,ALBURY PMG REPEATER STATION              ,-36.1,146.9,1/9/1954,1/7/1962,7.9,100,  N
72097,ALBURY PUMPING STATION                   ,-36.0817,146.955,1/5/1970,1/8/1986,16.3,100,  N
50117,ALECTOWN (BRIDGEWATER)                   ,-32.8952,148.2811,1/9/1970,1/3/2022,51.4,100,  N
65100,ALECTOWN (CAWDOR)                        ,-32.9874,148.2288,1/6/1992,1/5/2020,28,100,  N
50121,ALECTOWN (GLENROY)                       ,-32.9433,148.2833,1/1/1973,1/5/1992,19.4,100,  N
50115,ALECTOWN (GOONAHRA)                      ,-32.857,148.2577,1/7/1970,1/4/2013,42.8,100,  N
50116,ALECTOWN (KADINA PARK)                   ,-32.9294,148.3017,1/7/1970,1/9/1997,27.3,100,  N
50119,ALECTOWN (VANVILLA)                      ,-32.9368,148.2447,1/9/1949,1/3/2022,64.8,89,  N
66021,ALEXANDRIA (ERSKINEVILLE)                ,-33.9167,151.2,1/5/1904,1/11/1973,69.3,100,  N
66033,ALEXANDRIA (HENDERSON ROAD)              ,-33.8992,151.1933,1/5/1962,1/6/1999,2.3,6,  N
57098,ALICE (CLEVELAND)                        ,-29.0167,152.5667,1/1/1974,1/4/2000,4,15,  N
57097,ALICE (TILBAROO)                         ,-29.0333,152.5833,1/9/1971,1/12/1973,2.3,100,  N
70140,ALLAMBIE                                 ,-34.6833,149.7833,1/7/1959,1/10/1966,7.2,98,  N
61001,ALLANDALE (TINGARA)                      ,-32.7167,151.4167,1/7/1902,1/5/1971,49.1,71,  N
49069,ALMA (BOOLIGAL)                          ,-33.4,144.4,NA,1/8/1939,31.4,72,  N
49068,ALMA 2                                   ,-33.4167,144.3667,NA,1/12/1917,18.8,99,  N
74263,ALMA PARK (ALBARINGA)                    ,-35.6259,146.8343,1/1/1997,1/12/2021,24.8,99,  N
68128,ALPINE                                   ,-34.4,150.5167,1/11/1962,1/12/1970,7.7,94,  N
58000,ALSTONVILLE POST OFFICE                  ,-28.85,153.45,1/11/1903,1/7/1973,69.8,100,  N
58131,ALSTONVILLE TROPICAL FRUIT RESEARCH STAT ,-28.8521,153.4556,1/3/1963,1/7/2011,48,99,  N
68227,AMBARVALE CLENNAM AVE                    ,-34.0867,150.7917,1/10/1988,1/12/1991,3.3,100,  N
48066,AMPHITHEATRE                             ,-31.5333,145.6,NA,1/12/1920,30.3,82,  N
48168,ANGLEDOOL (ANGLEDOOL STATION)            ,-29.1173,147.8993,NA,1/3/2022,136.3,100,  N
63131,ANGUS PLACE (WOLGAN GAP)                 ,-33.3167,150.1167,1/8/1959,1/11/1982,23.2,99,  N
46118,ANNALARA                                 ,-31.2667,144.0333,1/9/1923,1/6/1966,42.8,100,  N
68134,APPIN (STANHOPE)                         ,-34.2,150.7833,NA,1/12/1913,25.1,100,  N
68234,APPIN (WILTON ROAD)                      ,-34.2206,150.7685,1/8/2009,1/10/2010,0.9,73,  N
47001,APPIN 3                                  ,-32.4167,142.3833,1/6/1925,1/1/1961,26.5,74,  N
68001,APPIN CHURCH ST                          ,-34.2069,150.7931,1/1/1907,1/6/1997,74.2,82,  N
74137,ARAJOL                                   ,-35.1167,147.0167,1/1/1904,1/12/1926,20.7,90,  N
69105,ARALUEN (MERRICUMBENE)                   ,-35.7333,149.8667,1/9/1970,1/6/1979,8.8,100,  N
54071,ARALUEN (OAKWOOD)                        ,-29.6167,151.0833,1/9/1958,1/9/1994,12.6,35,  N
69127,ARALUEN LOWER (ARALUEN RD)               ,-35.6867,149.8382,1/6/1980,1/3/2022,41.1,98,  N
69000,ARALUEN POST OFFICE                      ,-35.65,149.8167,NA,1/4/1970,78.7,100,  N
70242,ARANDA (BINDAGA ST)                      ,-35.2572,149.0742,1/7/1971,1/3/2022,50.8,100,  N
56000,ARDING                                   ,-30.6,151.55,1/7/1922,1/9/1954,31.8,99,  N
56200,ARDING (BOOYONG)                         ,-30.5833,151.55,1/2/1970,1/4/1974,4.2,98,  N
74266,ARDLETHAN (MAXWELTON)                    ,-34.2336,146.8453,1/7/2003,1/5/2016,12.9,100,  N
74268,ARDLETHAN (STRATHBOGIE)                  ,-34.1932,146.9278,1/1/1970,1/1/2022,52,100,  N
74000,ARDLETHAN POST OFFICE                    ,-34.357,146.9035,1/7/1909,1/3/2022,106.9,95,  N
72164,ARGALONG (CANYA)                         ,-35.3214,148.4642,1/7/1997,1/5/1998,0.9,100,  N
72152,ARGALONG (SANDY CREEK)                   ,-35.317,148.433,1/12/2000,1/3/2022,17.9,84,  N
72003,ARGALONG (THE FARM)                      ,-35.3083,148.4117,1/8/1900,1/7/1996,92.8,97,  N
74001,ARGOON                                   ,-34.9,145.9,NA,1/9/1958,67.8,100,  N
74231,ARIAH PARK (TRICKETTDALE)                ,-34.5333,147.3,1/11/1968,1/4/1975,6.4,99,  N
74239,ARIAH PARK (YARRANJERRY)                 ,-34.4667,147.05,NA,1/7/1903,7,95,  N
74002,ARIAH PARK POST OFFICE                   ,-34.3479,147.2208,1/5/1903,1/2/2022,118,99,  N
63149,ARLAMONT                                 ,-33.7,149.9333,1/8/1959,1/11/1969,10.3,100,  N
56219,ARMIDALE (AMAROO RD)                     ,-30.5154,151.5324,1/1/2007,1/9/2009,2.6,94,  N
56068,ARMIDALE (BELHAVEN)                      ,-30.3793,151.7521,1/2/1961,1/11/2003,40.8,95,  N
57007,ARMIDALE (FORGLEN)                       ,-30.45,151.9167,1/1/1937,1/12/1975,38.7,99,  N
57048,ARMIDALE (GARA)                          ,-30.5833,151.8167,1/5/1961,1/10/1974,13,96,  N
57092,ARMIDALE (GIRRAKOOL)                     ,-30.3667,151.9667,1/1/1965,1/8/1974,9.7,100,  N
57034,ARMIDALE (GOOYONG)                       ,-30.45,151.8167,1/2/1961,1/2/1984,23,100,  N
57088,ARMIDALE (HERBERT PARK)                  ,-30.4167,151.8167,1/1/1930,1/12/1935,6,100,  N
57106,ARMIDALE (LOCH ABBA)                     ,-30.39,151.815,1/5/1976,1/12/2010,28.8,83,  N
56002,ARMIDALE (RADIO STATION 2AD)             ,-30.5167,151.6681,NA,1/6/1997,134.5,96,  N
56191,ARMIDALE (TILBUSTER)                     ,-30.45,151.6833,1/2/1966,1/11/1974,7.7,87,  N
56069,ARMIDALE (TIVERTON)                      ,-30.6479,151.7463,1/2/1961,1/7/2009,39.3,81,  N
56037,ARMIDALE (TREE GROUP NURSERY)            ,-30.5243,151.6716,1/6/1997,1/3/2022,24.8,100,  N
56070,ARMIDALE (WYNDELLA)                      ,-30.4167,151.5667,1/5/1961,1/6/1969,7.1,87,  N
56238,ARMIDALE AIRPORT AWS                     ,-30.5273,151.6158,1/6/1994,1/3/2022,27.3,98,  Y
56003,ARMIDALE FOREST                          ,-30.5,151.6,1/1/1929,1/1/1954,25.1,100,  N
67049,ARNOLD GROVE                             ,-33.4,151.2,NA,1/12/1918,30,100,  N
59132,ARRAWARRA CARAVAN PARK                   ,-30.0611,153.1944,1/9/1986,1/3/1992,5.3,94,  N
54001,ARRAWATTA (INVERELL)                     ,-29.7,151.1,1/3/1907,1/1/1951,36.2,82,  N
53061,ARRORAMIE LOWER                          ,-30.75,149.6,NA,1/6/1914,24.8,100,  N
65000,ARTHURVILLE (CRAMOND)                    ,-32.4975,148.7488,NA,1/2/2022,133.3,100,  N
47002,ARUMPO                                   ,-33.75,142.9,NA,1/6/1966,84.6,98,  N
74138,ARUNDEL                                  ,-35.9,146.6,NA,1/12/1936,48,100,  N
66000,ASHFIELD BOWLING CLUB                    ,-33.885,151.1344,NA,1/3/2012,106.6,90,  N
54054,ASHFORD (ALMOND BANK)                    ,-29.45,151.2333,1/9/1958,1/12/1964,6.3,100,  N
54043,ASHFORD (BEAUMONT)                       ,-29.357,151.1432,1/1/1946,1/12/2021,74,97,  N
54046,ASHFORD (BURRABOGIE)                     ,-29.3992,151.4107,1/1/1959,1/2/2022,63.1,100,  N
54053,ASHFORD (COOLENDOON)                     ,-29.45,151.1667,1/9/1958,1/6/1979,20.8,100,  N
54051,ASHFORD (EGREMONT)                       ,-29.4167,151.15,1/1/1959,1/3/1977,18.1,99,  N
54041,ASHFORD (NORWOOD)                        ,-29.25,151.05,1/1/1959,1/10/1979,20.8,100,  N
54055,ASHFORD (SABRINA)                        ,-29.4017,151.2033,1/8/1958,1/12/1987,29.4,100,  N
54045,ASHFORD (SPRINGVALE)                     ,-29.3411,151.2894,1/9/1958,1/12/2020,60.4,97,  N
54002,ASHFORD (SUNHAVEN HOSTEL)                ,-29.3196,151.0916,1/3/1901,1/12/2007,101.2,95,  N
54044,ASHFORD (TARRANGOWER)                    ,-29.2975,151.1478,1/1/1959,1/12/2008,49,98,  N
54047,ASHFORD (TREVANNA)                       ,-29.9,151.0833,1/9/1958,1/7/1993,17.7,51,  N
53020,ASHLEY (MIDKIN)                          ,-29.3,149.7667,1/8/1906,1/6/1978,71.9,100,  N
53040,ASHLEY (THE PRAIRIES)                    ,-29.048,149.9384,1/1/1928,1/9/2011,83.6,100,  N
63258,ATHOL 1                                  ,-33.5,149.3,NA,1/11/1939,59.9,99,  N
55000,ATTUNGA (GARTHOWEN)                      ,-30.9113,150.8579,1/1/1903,1/2/2022,116,97,  N
55121,ATTUNGA (KERRIBREE)                      ,-30.8833,150.8167,1/10/1958,1/8/1978,19.8,100,  N
55122,ATTUNGA (MINDEROO)                       ,-30.8415,150.9097,1/8/1958,1/2/2022,60.8,96,  N
55105,ATTUNGA (TARANA)                         ,-30.7966,150.8643,1/10/1958,1/2/2022,60.3,95,  N
55120,ATTUNGA (THE PINES)                      ,-30.9309,150.7873,1/8/1958,1/2/2022,63.2,99,  N
55001,ATTUNGA (WARRAWILLA)                     ,-30.9333,150.8833,1/1/1947,1/11/1973,23.3,86,  N
66176,AUDLEY  (ROYAL NATIONAL PARK)            ,-34.0642,151.0578,1/1/1979,1/3/2022,39,90,  N
66001,AUDLEY NATIONAL PARK BOTTOM ST           ,-34.0667,151.05,NA,1/12/1979,72.4,90,  N
67036,AUSTRAL EIGHTH AVE                       ,-33.9333,150.8167,1/6/1964,1/8/1989,25.1,99,  N
66053,AVALON (WOLLSTONECRAFT AVE)              ,-33.63,151.3291,1/1/2002,1/7/2015,13.2,97,  N
66079,AVALON BEACH (AVALON (PALMGROVE RD))     ,-33.6358,151.3223,1/10/1958,1/11/2021,42.8,68,  N
61003,AVOCA BEACH                              ,-33.4667,151.4333,1/3/1934,1/12/1970,36.8,100,  N
61294,AVOCA BEACH BOWLING CLUB                 ,-33.4666,151.4123,1/5/1970,1/2/2022,51.8,100,  N
68002,AVON DAM MWSDB                           ,-34.35,150.6333,1/1/1919,1/10/1967,48.8,100,  N
55317,BAAN BAA                                 ,-30.6,149.9,NA,1/9/1951,56.5,95,  N
49066,BABINDA TANK                             ,-31.8833,146.35,1/4/1904,1/2/1917,12.9,100,  N
73059,BACK CREEK                               ,-33.85,147.5,1/1/1901,1/12/1916,11.8,73,  N
55199,BACK CREEK (NUNDLE)                      ,-31.5833,151.05,1/2/1959,1/5/1967,6.3,75,  N
65001,BACK YAMMA STATE FOREST                  ,-33.3,148.2,1/6/1938,1/8/1957,19,99,  N
58108,BACKMEDE (GREEN GATES)                   ,-28.7667,153.0333,1/10/1965,1/12/1976,11.3,100,  N
67108,BADGERYS CREEK AWS                       ,-33.8969,150.7281,1/11/1995,1/3/2022,26.3,99,  Y
67068,BADGERYS CREEK MCMASTERS F.STN           ,-33.8683,150.7278,1/1/1936,1/12/1996,59.5,97,  N
67050,BADGERYS CREEK SCHOOL                    ,-33.8833,150.75,1/1/1919,1/5/1929,10.4,100,  N
61423,BAERAMI (THE OLD DAIRY)                  ,-32.377,150.4851,1/7/2010,1/3/2022,11.8,100,  N
61264,BAERAMI CREEK (BOREEWAN)                 ,-32.45,150.45,1/5/1968,1/12/1984,16.7,100,  N
61204,BAERAMI CREEK (BRONWYN PARK)             ,-32.5356,150.4483,1/1/1960,1/6/2021,61.5,100,  N
72028,BAGO (KUNAMA)                            ,-35.5833,148.1,1/1/1940,1/11/1968,28.7,99,  N
72039,BAGO (PILOT HILL)                        ,-35.6167,148.15,1/7/1910,1/9/1951,34.8,84,  N
75090,BAGORMBA                                 ,-34.4,144.9333,NA,1/1/1913,16.3,86,  N
47004,BAKARA                                   ,-31.8833,143.05,1/10/1925,1/8/1974,48.6,99,  N
47092,BALACLAVA                                ,-32.1333,141.3667,1/11/1908,1/9/1926,16.5,92,  N
61134,BALAIBLUAN                               ,-32.1667,150.55,1/11/1961,1/3/1968,4.8,75,  N
65002,BALD HILLS                               ,-33.1167,148.6,1/7/1930,1/12/1959,29.5,100,  N
65042,BALDERODGERY                             ,-33.1,148.4,NA,1/3/1919,23.5,100,  N
50057,BALEVEOLAN                               ,-32.3,147,1/1/1937,1/12/1941,5,100,  N
66002,BALGOWLAH (ETHEL STREET)                 ,-33.7997,151.2508,1/6/1940,1/12/1989,49.3,99,  N
51126,BALLADORAN (GLENBURN)                    ,-31.8833,148.4833,1/5/1968,1/4/1973,4.9,98,  N
69118,BALLALABA (BOURKES HILL)                 ,-35.5563,149.6414,1/5/1968,1/4/2004,31.8,88,  N
74004,BALLDALE POST OFFICE                     ,-35.8462,146.5194,1/6/1908,1/2/2022,110.3,97,  N
58205,BALLINA (BURNET ST)                      ,-28.8681,153.5667,1/7/2011,1/1/2015,3.6,100,  N
58001,BALLINA (CROWLEY VILLAGE)                ,-28.8528,153.5691,NA,1/6/2009,114.1,97,  N
58198,BALLINA AIRPORT AWS                      ,-28.8353,153.5585,1/11/1992,1/3/2022,29.4,100,  Y
58128,BALLINA WEST                             ,-28.9,153.5833,1/10/1908,1/3/1945,34.8,95,  N
75000,BALLINGAL                                ,-34.2,146,1/2/1939,1/9/1951,9,71,  N
68135,BALMORAL                                 ,-34.3,150.55,NA,1/1/1920,25.4,83,  N
49089,BALOURA TANK                             ,-32.35,146.35,NA,1/8/1910,19.7,100,  N
75001,BALPOOL (NYANG)                          ,-35.15,144.2,NA,1/4/1950,52.8,86,  N
49002,BALRANALD (RSL)                          ,-34.6398,143.561,NA,1/3/2022,143.3,100,  N
49048,BALRANALD (TILLARA)                      ,-34.6516,143.0491,1/6/1901,1/12/2010,107.9,98,  N
73060,BANDANGAN                                ,-34.4167,148.1667,1/4/1902,1/5/1917,15.2,100,  N
55231,BANDO RIDGE                              ,-31.2167,149.9667,NA,1/2/1918,23.4,88,  N
68090,BANGADILLY                               ,-34.4833,150.1167,1/8/1959,1/3/1966,6.6,99,  N
58002,BANGALOW (FOWLERS LANE)                  ,-28.6477,153.5123,1/1/1900,1/5/2017,52.2,44,  N
48003,BANGATE                                  ,-29.2667,147.7667,NA,1/12/1969,75.3,90,  N
63255,BANGEROO NORTH                           ,-33.6333,148.6333,1/1/1918,1/2/1924,6.2,100,  N
66003,BANKSTOWN (CONDELL PARK)                 ,-33.9167,151.0167,1/1/1906,1/12/1979,60.8,82,  N
66137,BANKSTOWN AIRPORT AWS                    ,-33.9176,150.9837,1/7/1968,1/3/2022,53.8,100,  Y
70002,BANNABY (HILLASMOUNT)                    ,-34.4315,149.9958,1/1/1945,1/12/2012,67.4,99,  N
70003,BANNISTER STATION                        ,-34.6,149.5,1/1/1943,1/8/1977,34.5,99,  N
54085,BANNOCKBURN                              ,-29.5833,151.0333,NA,1/1/1925,36.1,100,  N
58003,BANYABBA STATE FOREST                    ,-29.35,152.9833,1/1/1940,1/10/1963,22.3,94,  N
53007,BARADINE (CALEDONIA)                     ,-30.9833,148.8667,1/9/1911,1/6/1961,49.1,98,  N
53075,BARADINE (WOODVILLE)                     ,-30.8838,148.8098,1/9/1966,1/7/2014,47.8,100,  N
53002,BARADINE FORESTRY                        ,-30.9469,149.0654,1/3/1944,1/3/2022,76.1,97,  N
53001,BARADINE POST OFFICE                     ,-30.948,149.0663,NA,1/4/2019,137.9,100,  N
65047,BARBIGAL                                 ,-32.25,148.7833,1/8/1904,1/1/1924,13.9,71,  N
59044,BARCOONGERE STATE FORESTRY               ,-29.9667,153.2167,1/1/1953,1/3/1960,6.3,87,  N
74094,BARELLAN (NEREENA)                       ,-34.2208,146.4586,1/12/1901,1/11/2010,96.3,88,  N
74005,BARELLAN POST OFFICE                     ,-34.2849,146.5714,NA,1/2/2022,143.4,99,  N
68193,BARGO POST OFFICE                        ,-34.2833,150.5833,1/4/1902,1/9/1970,21.6,31,  N
75003,BARHAM (THULE STREET)                    ,-35.6293,144.1246,NA,1/2/2012,111.9,97,  N
75002,BARHAM 2                                 ,-35.6,144.1,NA,1/12/1963,55.2,85,  N
75084,BARMAH STATE FOREST                      ,-35.6333,144.1167,1/3/1953,1/4/1980,26.2,96,  N
73000,BARMEDMAN POST OFFICE                    ,-34.1442,147.386,NA,1/1/2022,134,99,  N
48132,BARNATO 1                                ,-31.55,145,NA,1/1/1916,31.1,89,  N
52034,BARNATO 2                                ,-28.8,149.6,1/6/1902,1/6/1933,31.1,100,  N
48090,BARNATO TANK                             ,-31.6,144.9,1/12/1941,1/9/1946,4.6,95,  N
61370,BARNSLEY (BENDIGO STREET)                ,-32.9336,151.5792,1/1/1991,1/4/1997,6.3,100,  N
74135,BAROOGA                                  ,-35.8833,145.8,NA,1/12/1915,21,100,  N
54119,BARRABA (CAMPO SANTO)                    ,-30.3614,150.467,1/5/1966,1/10/1996,30.3,99,  N
54003,BARRABA (CLIFTON LANE)                   ,-30.3833,150.6083,NA,1/3/2022,140.6,100,  N
54024,BARRABA (LOG CABIN)                      ,-30.4291,150.5298,1/1/1966,1/9/2016,45.8,90,  N
54021,BARRABA (MOUNT LINDSAY)                  ,-30.3209,150.2734,NA,1/3/2022,128.1,94,  N
54023,BARRABA (NERANGHI)                       ,-30.2948,150.8103,1/1/1908,1/2/2022,113.3,99,  N
54102,BARRABA (ROSEVALE)                       ,-30.3735,150.6723,1/6/1964,1/1/2022,57.7,100,  N
54116,BARRABA (TREBORANE)                      ,-30.303,150.6935,1/1/1965,1/3/2015,50.3,100,  N
63008,BARRALLIER                               ,-34.3,150.0667,1/6/1936,1/1/1971,29.3,84,  N
68191,BARRALLIER (BELL BIRD)                   ,-34.3,150.0667,1/4/1971,1/4/1973,2.1,100,  N
68178,BARREN GROUNDS NATURE RES.               ,-34.6833,150.7167,1/4/1973,1/10/1976,3.6,100,  N
68217,BARRENGARRY (THE OLD SCHOOL HOUSE)       ,-34.6866,150.5253,1/11/1982,1/2/2022,36.4,93,  N
60049,BARRINGTON (CONEAC)                      ,-31.8667,151.8333,1/8/1961,1/8/1970,5.1,56,  N
61418,BARRINGTON TOPS (MOUNT BARRINGTON)       ,-32.04,151.4039,1/11/2009,1/3/2022,9,72,  N
48004,BARRINGUN                                ,-29.0128,145.7132,NA,1/12/2015,129.9,97,  N
48197,BARRINGUN (MILANDA)                      ,-29.2167,145.5667,1/4/1970,1/9/1970,0.5,100,  N
48192,BARROW VALE                              ,-31.65,145.8333,NA,1/12/1918,38,100,  N
63002,BARRY                                    ,-33.65,149.2667,1/1/1916,1/3/1979,60.5,96,  N
61027,BARSHAM                                  ,-31.8,150.9,NA,1/3/1927,38.7,85,  N
57114,BARYULGIL (CLARENCE RIVER)               ,-29.1967,152.595,1/12/2000,1/3/2022,21.3,100,  N
57120,BARYULGIL (MOOKIMA)                      ,-29.1961,152.72,1/7/1987,1/2/1995,7.4,97,  N
57051,BARYULGIL (MOUNTAIN VIEW)                ,-29.1912,152.5905,1/7/1961,1/9/2009,46.3,96,  N
57077,BARYULGIL (YUGILBAR)                     ,-29.2,152.5,1/12/1964,1/7/1979,14.7,100,  N
63003,BASSETT DOWNS                            ,-33.75,148.7,1/1/1900,1/12/1968,68.5,99,  N
61378,BATEAU BAY (ROTHERHAM ST)                ,-33.3806,151.4544,1/10/1993,1/10/1997,4.1,100,  N
69134,BATEMANS BAY (CATALINA COUNTRY CLUB)     ,-35.7234,150.1872,1/1/1985,1/3/2022,32.3,87,  N
69052,BATEMANS BAY - BUCKENBOWRA               ,-35.7343,150.0508,1/1/1943,1/2/2022,79.1,100,  N
69001,BATEMANS BAY POST OFFICE                 ,-35.7086,150.1769,NA,1/2/1996,100.3,100,  N
63306,BATHURST  (THE ROCKS)                    ,-33.422,149.4057,1/4/1996,1/2/2020,11.4,48,  N
63225,BATHURST (FREEMANTLE (BIG BULLEN))       ,-33.1208,149.365,1/8/2004,1/10/2004,0.3,100,  N
63187,BATHURST (MACHATTIE PARK)                ,-33.4,149.6,NA,1/1/1927,30.3,100,  N
63305,BATHURST AG COMPARISON                   ,-33.43,149.555,1/5/1996,1/6/2002,1.9,31,  N
63005,BATHURST AGRICULTURAL STATION            ,-33.4288,149.5559,1/7/1908,1/3/2022,113.8,100,  N
63291,BATHURST AIRPORT AWS                     ,-33.4119,149.654,1/6/1994,1/3/2022,27.8,100,  Y
63004,BATHURST GAOL                            ,-33.4167,149.55,NA,1/5/1983,124.3,99,  N
63287,BATHURST STANLEY STREET (MACQUARIE RIVER ,-33.4107,149.5843,1/12/2000,1/3/2022,21,98,  N
72082,BATLOW (HALLOWEEN)                       ,-35.5528,147.9827,1/3/1967,1/2/2022,53.6,97,  N
72005,BATLOW (VELVIN)                          ,-35.5,148.1,1/6/1947,1/5/1957,10,100,  N
72004,BATLOW POST OFFICE                       ,-35.5203,148.1453,NA,1/2/2022,135.4,100,  N
67109,BAULKHAM HILLS EUCALYPTUS CT             ,-33.7678,150.9814,1/12/2000,1/3/2022,21.3,100,  N
69124,BAWLEY POINT                             ,-35.5167,150.3833,1/1/1913,1/6/1920,6.9,92,  N
66127,BEACON HILL RAAF                         ,-33.75,151.25,1/10/1968,1/10/1973,5.1,100,  N
64000,BEARBUNG (ALLER)                         ,-31.6347,148.8464,1/6/1924,1/7/2018,83,88,  N
68247,BEAUMONT (THE CEDARS)                    ,-34.768,150.5622,1/1/1993,1/3/2022,29.3,100,  N
74006,BECKOM (STAWELL ST)                      ,-34.3251,146.957,1/1/1909,1/12/2015,89.4,84,  N
74261,BECKOM (WALLEROOBIE (GOLDEN VALLEY))     ,-34.531,146.9806,1/3/2003,1/3/2022,19.1,100,  N
50003,BEDGEREBONG POST OFFICE                  ,-33.3667,147.7,1/2/1951,1/10/1988,36.5,97,  N
49098,BEDOOBA                                  ,-32.3333,145.9167,NA,1/12/1924,43.8,100,  N
54135,BEEBO (MAURO)                            ,-28.7216,150.9285,1/1/1973,1/8/1998,24.8,96,  N
66129,BEECROFT                                 ,-33.75,151.0667,1/2/1905,1/12/1962,57.6,99,  N
67051,BEECROFT 1                               ,-33.7,151,NA,1/3/1920,31.6,100,  N
52035,BEETHOVEN (ROWEND)                       ,-29.7,148.6,1/1/1936,1/12/1940,5,100,  N
69002,BEGA (NEWTOWN ROAD)                      ,-36.6883,149.838,NA,1/3/2022,138.3,97,  N
69139,BEGA AWS                                 ,-36.6722,149.8191,1/6/1994,1/3/2022,27.8,100,  Y
73004,BEHTUNGRA POST OFFICE                    ,-34.7667,147.8667,NA,1/12/1968,39.3,49,  N
65043,BELAH VIEW                               ,-33.3,148.1,1/8/1938,1/7/1947,8.6,95,  N
68006,BELANGLO STATE FOREST                    ,-34.5367,150.2528,1/1/1940,1/9/1990,50.4,99,  N
51002,BELARINGAR STATION                       ,-31.7833,147.6,NA,1/4/1978,96.8,100,  N
70090,BELCONNEN (HOLT (PINE RIDGE))            ,-35.2389,148.9958,1/10/1999,1/8/2007,7.9,100,  N
70059,BELCONNEN (WEETANGERRA)                  ,-35.2439,148.9942,NA,1/12/1994,102.7,94,  N
74205,BELFRAYDEN (NORTH MAYFIELD)              ,-35.162,147.0274,1/5/1968,1/2/2022,53.8,100,  N
63200,BELGRAVIA                                ,-33.2,149.1167,1/8/1903,1/6/1924,20.9,100,  N
68228,BELLAMBI AWS                             ,-34.3691,150.9291,1/4/1997,1/3/2022,25,100,  Y
60000,BELLANGRY STATE FOREST 524               ,-31.3167,151.5833,1/9/1950,1/9/1990,25.5,64,  N
73111,BELLARWI (GLEN AVON)                     ,-34.1833,147.2,1/4/1968,1/1/1971,2.8,97,  N
